Execution completed in 267.98 ms
Data loaded in 0.21 ms
Generation 2 completed in 7.38 ms
Generation 3 completed in 6.50 ms
Generation 4 completed in 6.04 ms
Generation 5 completed in 5.85 ms
Generation 6 completed in 5.54 ms
Generation 7 completed in 5.51 ms
Generation 8 completed in 5.33 ms
Generation 9 completed in 5.45 ms
Generation 10 completed in 5.35 ms
Generation 11 completed in 5.16 ms
Generation 12 completed in 5.77 ms
Generation 13 completed in 5.52 ms
Generation 14 completed in 5.46 ms
Generation 15 completed in 5.86 ms
Generation 16 completed in 5.30 ms
Generation 17 completed in 5.44 ms
Generation 18 completed in 5.13 ms
Generation 19 completed in 5.46 ms
Generation 20 completed in 5.60 ms
Generation 21 completed in 5.11 ms
Generation 22 completed in 5.60 ms
Generation 23 completed in 5.13 ms
Generation 24 completed in 5.04 ms
Generation 25 completed in 5.11 ms
Generation 26 completed in 4.94 ms
Generation 27 completed in 5.07 ms
Generation 28 completed in 4.83 ms
Generation 29 completed in 5.48 ms
Generation 30 completed in 5.01 ms
Generation 31 completed in 4.81 ms
Generation 32 completed in 4.97 ms
Generation 33 completed in 5.10 ms
Generation 34 completed in 5.50 ms
Generation 35 completed in 4.99 ms
Generation 36 completed in 5.00 ms
Generation 37 completed in 5.07 ms
Generation 38 completed in 4.97 ms
Generation 39 completed in 5.00 ms
Generation 40 completed in 5.68 ms
Generation 41 completed in 4.77 ms
Generation 42 completed in 4.92 ms
Generation 43 completed in 5.00 ms
Generation 44 completed in 5.02 ms
Generation 45 completed in 5.02 ms
Generation 46 completed in 4.84 ms
Generation 47 completed in 4.90 ms
Generation 48 completed in 5.75 ms
Generation 49 completed in 5.08 ms
Generation 50 completed in 5.00 ms
Generation 51 completed in 5.05 ms
Best chromosome: 1 41 4 47 38 31 24 2 10 46 19 11 15 40 33 12 22 32 14 17 27 35 26 36 16 39 0 7 21 37 29 5 18 6 42 43 45 20 30 8 13 28 3 25 34 44 9 23 
Best distance: 59804.093728
