Execution completed in 262.47 ms
Data loaded in 0.21 ms
Generation 2 completed in 6.86 ms
Generation 3 completed in 6.38 ms
Generation 4 completed in 5.90 ms
Generation 5 completed in 5.49 ms
Generation 6 completed in 5.35 ms
Generation 7 completed in 5.24 ms
Generation 8 completed in 5.25 ms
Generation 9 completed in 5.22 ms
Generation 10 completed in 4.89 ms
Generation 11 completed in 5.17 ms
Generation 12 completed in 4.98 ms
Generation 13 completed in 5.00 ms
Generation 14 completed in 5.16 ms
Generation 15 completed in 5.06 ms
Generation 16 completed in 5.23 ms
Generation 17 completed in 5.29 ms
Generation 18 completed in 5.76 ms
Generation 19 completed in 5.12 ms
Generation 20 completed in 4.98 ms
Generation 21 completed in 4.95 ms
Generation 22 completed in 5.27 ms
Generation 23 completed in 4.92 ms
Generation 24 completed in 4.96 ms
Generation 25 completed in 4.96 ms
Generation 26 completed in 5.06 ms
Generation 27 completed in 5.52 ms
Generation 28 completed in 5.01 ms
Generation 29 completed in 5.24 ms
Generation 30 completed in 5.26 ms
Generation 31 completed in 5.16 ms
Generation 32 completed in 5.61 ms
Generation 33 completed in 5.26 ms
Generation 34 completed in 5.27 ms
Generation 35 completed in 4.83 ms
Generation 36 completed in 4.92 ms
Generation 37 completed in 4.85 ms
Generation 38 completed in 5.01 ms
Generation 39 completed in 4.80 ms
Generation 40 completed in 5.05 ms
Generation 41 completed in 5.03 ms
Generation 42 completed in 5.55 ms
Generation 43 completed in 5.22 ms
Generation 44 completed in 5.40 ms
Generation 45 completed in 4.91 ms
Generation 46 completed in 4.71 ms
Generation 47 completed in 4.93 ms
Generation 48 completed in 5.45 ms
Generation 49 completed in 4.87 ms
Generation 50 completed in 4.92 ms
Generation 51 completed in 4.74 ms
Best chromosome: 15 40 2 21 39 24 22 46 19 14 0 7 43 37 8 45 35 30 6 5 42 27 16 29 18 36 26 17 32 10 11 38 20 12 33 47 4 28 1 41 3 25 31 9 34 44 23 13 
Best distance: 56349.732183
