Execution completed in 34.31 ms
Data loaded in 0.10 ms
Generation 2 completed in 0.85 ms
Generation 3 completed in 0.79 ms
Generation 4 completed in 0.68 ms
Generation 5 completed in 0.65 ms
Generation 6 completed in 0.85 ms
Generation 7 completed in 0.63 ms
Generation 8 completed in 0.65 ms
Generation 9 completed in 0.76 ms
Generation 10 completed in 0.60 ms
Generation 11 completed in 0.66 ms
Generation 12 completed in 0.63 ms
Generation 13 completed in 0.64 ms
Generation 14 completed in 0.68 ms
Generation 15 completed in 0.69 ms
Generation 16 completed in 0.68 ms
Generation 17 completed in 0.70 ms
Generation 18 completed in 0.72 ms
Generation 19 completed in 0.76 ms
Generation 20 completed in 0.70 ms
Generation 21 completed in 0.72 ms
Generation 22 completed in 0.82 ms
Generation 23 completed in 0.73 ms
Generation 24 completed in 0.66 ms
Generation 25 completed in 0.72 ms
Generation 26 completed in 0.75 ms
Generation 27 completed in 0.58 ms
Generation 28 completed in 0.67 ms
Generation 29 completed in 0.66 ms
Generation 30 completed in 0.69 ms
Generation 31 completed in 0.59 ms
Generation 32 completed in 0.73 ms
Generation 33 completed in 0.65 ms
Generation 34 completed in 0.63 ms
Generation 35 completed in 0.62 ms
Generation 36 completed in 0.60 ms
Generation 37 completed in 0.60 ms
Generation 38 completed in 0.57 ms
Generation 39 completed in 0.62 ms
Generation 40 completed in 0.62 ms
Generation 41 completed in 0.67 ms
Generation 42 completed in 0.84 ms
Generation 43 completed in 0.69 ms
Generation 44 completed in 0.63 ms
Generation 45 completed in 0.66 ms
Generation 46 completed in 0.59 ms
Generation 47 completed in 0.60 ms
Generation 48 completed in 0.67 ms
Generation 49 completed in 0.63 ms
Generation 50 completed in 0.64 ms
Generation 51 completed in 0.62 ms
Best chromosome: 24 12 38 33 22 20 19 16 36 18 29 45 17 6 27 14 30 35 43 37 32 42 26 5 46 10 11 0 8 39 7 2 13 15 21 41 25 9 31 44 34 3 23 47 28 40 1 4 
Best distance: 64475.741597
