Execution completed in 266.12 ms
Data loaded in 0.27 ms
Generation 2 completed in 6.76 ms
Generation 3 completed in 6.27 ms
Generation 4 completed in 6.14 ms
Generation 5 completed in 5.61 ms
Generation 6 completed in 5.66 ms
Generation 7 completed in 5.50 ms
Generation 8 completed in 5.42 ms
Generation 9 completed in 5.26 ms
Generation 10 completed in 5.21 ms
Generation 11 completed in 5.23 ms
Generation 12 completed in 5.93 ms
Generation 13 completed in 5.54 ms
Generation 14 completed in 5.22 ms
Generation 15 completed in 5.32 ms
Generation 16 completed in 5.36 ms
Generation 17 completed in 5.67 ms
Generation 18 completed in 5.50 ms
Generation 19 completed in 5.02 ms
Generation 20 completed in 5.01 ms
Generation 21 completed in 5.68 ms
Generation 22 completed in 5.15 ms
Generation 23 completed in 5.37 ms
Generation 24 completed in 5.37 ms
Generation 25 completed in 5.40 ms
Generation 26 completed in 4.88 ms
Generation 27 completed in 5.02 ms
Generation 28 completed in 4.91 ms
Generation 29 completed in 4.96 ms
Generation 30 completed in 5.12 ms
Generation 31 completed in 4.94 ms
Generation 32 completed in 5.03 ms
Generation 33 completed in 4.69 ms
Generation 34 completed in 5.10 ms
Generation 35 completed in 4.96 ms
Generation 36 completed in 5.46 ms
Generation 37 completed in 4.78 ms
Generation 38 completed in 4.77 ms
Generation 39 completed in 4.85 ms
Generation 40 completed in 4.97 ms
Generation 41 completed in 5.01 ms
Generation 42 completed in 5.89 ms
Generation 43 completed in 4.79 ms
Generation 44 completed in 4.88 ms
Generation 45 completed in 4.97 ms
Generation 46 completed in 4.73 ms
Generation 47 completed in 5.04 ms
Generation 48 completed in 5.56 ms
Generation 49 completed in 5.05 ms
Generation 50 completed in 5.12 ms
Generation 51 completed in 5.32 ms
Best chromosome: 41 9 23 24 32 46 19 14 11 10 12 15 40 33 21 0 2 13 4 31 20 27 42 18 36 5 37 30 35 29 26 16 17 43 39 6 45 8 7 22 28 47 38 1 25 3 34 44 
Best distance: 60454.813176
