Execution completed in 267.10 ms
Data loaded in 0.21 ms
Generation 2 completed in 6.69 ms
Generation 3 completed in 6.19 ms
Generation 4 completed in 5.81 ms
Generation 5 completed in 5.85 ms
Generation 6 completed in 5.54 ms
Generation 7 completed in 6.18 ms
Generation 8 completed in 6.32 ms
Generation 9 completed in 5.14 ms
Generation 10 completed in 5.12 ms
Generation 11 completed in 5.00 ms
Generation 12 completed in 5.95 ms
Generation 13 completed in 5.57 ms
Generation 14 completed in 5.45 ms
Generation 15 completed in 5.53 ms
Generation 16 completed in 5.87 ms
Generation 17 completed in 5.54 ms
Generation 18 completed in 5.11 ms
Generation 19 completed in 4.64 ms
Generation 20 completed in 5.16 ms
Generation 21 completed in 5.02 ms
Generation 22 completed in 5.79 ms
Generation 23 completed in 5.49 ms
Generation 24 completed in 5.25 ms
Generation 25 completed in 5.67 ms
Generation 26 completed in 5.22 ms
Generation 27 completed in 5.18 ms
Generation 28 completed in 5.05 ms
Generation 29 completed in 4.82 ms
Generation 30 completed in 4.88 ms
Generation 31 completed in 5.17 ms
Generation 32 completed in 5.51 ms
Generation 33 completed in 5.27 ms
Generation 34 completed in 5.29 ms
Generation 35 completed in 4.97 ms
Generation 36 completed in 5.07 ms
Generation 37 completed in 4.95 ms
Generation 38 completed in 4.54 ms
Generation 39 completed in 5.22 ms
Generation 40 completed in 5.23 ms
Generation 41 completed in 4.98 ms
Generation 42 completed in 4.86 ms
Generation 43 completed in 5.08 ms
Generation 44 completed in 4.94 ms
Generation 45 completed in 5.00 ms
Generation 46 completed in 4.58 ms
Generation 47 completed in 5.02 ms
Generation 48 completed in 4.93 ms
Generation 49 completed in 4.92 ms
Generation 50 completed in 5.05 ms
Generation 51 completed in 5.02 ms
Best chromosome: 37 8 15 21 40 13 24 12 33 2 11 14 22 46 36 18 5 27 43 45 0 7 10 17 6 35 29 42 16 26 19 20 31 23 3 34 44 41 4 1 25 9 47 38 28 39 32 30 
Best distance: 57888.131766
