Execution completed in 135885.94 ms
Data loaded in 60.75 ms
Generation 2 completed in 3435.57 ms
Generation 3 completed in 3125.79 ms
Generation 4 completed in 2881.24 ms
Generation 5 completed in 2811.59 ms
Generation 6 completed in 2754.38 ms
Generation 7 completed in 2747.95 ms
Generation 8 completed in 2707.97 ms
Generation 9 completed in 2686.99 ms
Generation 10 completed in 2710.04 ms
Generation 11 completed in 2685.68 ms
Generation 12 completed in 2978.10 ms
Generation 13 completed in 2756.02 ms
Generation 14 completed in 2684.90 ms
Generation 15 completed in 2674.66 ms
Generation 16 completed in 2670.37 ms
Generation 17 completed in 2650.62 ms
Generation 18 completed in 2624.13 ms
Generation 19 completed in 2616.79 ms
Generation 20 completed in 2637.29 ms
Generation 21 completed in 2652.13 ms
Generation 22 completed in 2947.69 ms
Generation 23 completed in 2766.58 ms
Generation 24 completed in 2659.79 ms
Generation 25 completed in 2642.53 ms
Generation 26 completed in 2589.67 ms
Generation 27 completed in 2617.46 ms
Generation 28 completed in 2612.77 ms
Generation 29 completed in 2588.06 ms
Generation 30 completed in 2583.69 ms
Generation 31 completed in 2577.66 ms
Generation 32 completed in 2950.67 ms
Generation 33 completed in 2729.89 ms
Generation 34 completed in 2636.47 ms
Generation 35 completed in 2589.80 ms
Generation 36 completed in 2581.01 ms
Generation 37 completed in 2589.17 ms
Generation 38 completed in 2593.69 ms
Generation 39 completed in 2604.52 ms
Generation 40 completed in 2581.95 ms
Generation 41 completed in 2598.95 ms
Generation 42 completed in 2923.11 ms
Generation 43 completed in 2696.23 ms
Generation 44 completed in 2632.55 ms
Generation 45 completed in 2592.11 ms
Generation 46 completed in 2577.72 ms
Generation 47 completed in 2560.69 ms
Generation 48 completed in 2556.00 ms
Generation 49 completed in 2591.74 ms
Generation 50 completed in 2590.36 ms
Generation 51 completed in 2560.31 ms
Best chromosome: 19 8 0 14 32 46 12 20 24 22 10 11 45 43 17 30 37 39 2 13 33 4 41 23 38 31 47 28 1 3 34 44 25 9 40 15 21 7 36 5 18 42 16 26 29 6 35 27 
Best distance: 50290.745832
