Execution completed in 2120.33 ms
Data loaded in 0.89 ms
Generation 2 completed in 52.86 ms
Generation 3 completed in 49.73 ms
Generation 4 completed in 44.71 ms
Generation 5 completed in 44.67 ms
Generation 6 completed in 43.67 ms
Generation 7 completed in 44.14 ms
Generation 8 completed in 42.64 ms
Generation 9 completed in 41.91 ms
Generation 10 completed in 42.63 ms
Generation 11 completed in 42.95 ms
Generation 12 completed in 42.26 ms
Generation 13 completed in 41.65 ms
Generation 14 completed in 41.86 ms
Generation 15 completed in 41.96 ms
Generation 16 completed in 40.39 ms
Generation 17 completed in 40.98 ms
Generation 18 completed in 41.33 ms
Generation 19 completed in 41.09 ms
Generation 20 completed in 40.32 ms
Generation 21 completed in 41.30 ms
Generation 22 completed in 40.34 ms
Generation 23 completed in 40.32 ms
Generation 24 completed in 41.57 ms
Generation 25 completed in 40.55 ms
Generation 26 completed in 39.97 ms
Generation 27 completed in 40.65 ms
Generation 28 completed in 40.95 ms
Generation 29 completed in 39.85 ms
Generation 30 completed in 40.44 ms
Generation 31 completed in 42.59 ms
Generation 32 completed in 46.77 ms
Generation 33 completed in 43.36 ms
Generation 34 completed in 42.82 ms
Generation 35 completed in 40.82 ms
Generation 36 completed in 41.45 ms
Generation 37 completed in 41.89 ms
Generation 38 completed in 39.96 ms
Generation 39 completed in 42.20 ms
Generation 40 completed in 42.26 ms
Generation 41 completed in 41.67 ms
Generation 42 completed in 41.66 ms
Generation 43 completed in 40.61 ms
Generation 44 completed in 40.97 ms
Generation 45 completed in 40.28 ms
Generation 46 completed in 41.14 ms
Generation 47 completed in 41.84 ms
Generation 48 completed in 40.92 ms
Generation 49 completed in 41.27 ms
Generation 50 completed in 39.33 ms
Generation 51 completed in 40.12 ms
Best chromosome: 4 47 38 24 22 40 33 2 39 19 46 20 12 10 37 30 45 17 18 42 26 16 27 29 32 14 21 35 43 36 5 6 8 0 7 11 15 13 31 23 28 1 25 3 34 44 9 41 
Best distance: 54589.416185
