Execution completed in 34.30 ms
Data loaded in 0.11 ms
Generation 2 completed in 0.88 ms
Generation 3 completed in 0.77 ms
Generation 4 completed in 0.67 ms
Generation 5 completed in 0.63 ms
Generation 6 completed in 0.64 ms
Generation 7 completed in 0.68 ms
Generation 8 completed in 0.74 ms
Generation 9 completed in 0.66 ms
Generation 10 completed in 0.65 ms
Generation 11 completed in 0.66 ms
Generation 12 completed in 0.59 ms
Generation 13 completed in 0.64 ms
Generation 14 completed in 0.69 ms
Generation 15 completed in 0.68 ms
Generation 16 completed in 0.78 ms
Generation 17 completed in 0.63 ms
Generation 18 completed in 0.57 ms
Generation 19 completed in 0.59 ms
Generation 20 completed in 0.68 ms
Generation 21 completed in 0.72 ms
Generation 22 completed in 0.85 ms
Generation 23 completed in 1.04 ms
Generation 24 completed in 0.78 ms
Generation 25 completed in 0.74 ms
Generation 26 completed in 0.80 ms
Generation 27 completed in 0.63 ms
Generation 28 completed in 0.59 ms
Generation 29 completed in 0.60 ms
Generation 30 completed in 0.68 ms
Generation 31 completed in 0.67 ms
Generation 32 completed in 0.65 ms
Generation 33 completed in 0.56 ms
Generation 34 completed in 0.56 ms
Generation 35 completed in 0.61 ms
Generation 36 completed in 0.66 ms
Generation 37 completed in 0.56 ms
Generation 38 completed in 0.62 ms
Generation 39 completed in 0.62 ms
Generation 40 completed in 0.66 ms
Generation 41 completed in 0.59 ms
Generation 42 completed in 0.62 ms
Generation 43 completed in 0.62 ms
Generation 44 completed in 0.65 ms
Generation 45 completed in 0.76 ms
Generation 46 completed in 0.71 ms
Generation 47 completed in 0.69 ms
Generation 48 completed in 0.73 ms
Generation 49 completed in 0.70 ms
Generation 50 completed in 0.69 ms
Generation 51 completed in 0.60 ms
Best chromosome: 45 37 30 43 35 5 36 29 12 24 2 31 32 39 15 21 22 33 10 38 23 3 9 44 25 41 1 47 13 19 46 14 11 17 27 6 42 16 26 18 20 4 34 28 40 0 7 8 
Best distance: 67630.171864
