Execution completed in 35.79 ms
Data loaded in 0.11 ms
Generation 2 completed in 0.82 ms
Generation 3 completed in 0.79 ms
Generation 4 completed in 0.76 ms
Generation 5 completed in 0.81 ms
Generation 6 completed in 0.77 ms
Generation 7 completed in 0.73 ms
Generation 8 completed in 0.74 ms
Generation 9 completed in 0.71 ms
Generation 10 completed in 0.81 ms
Generation 11 completed in 0.73 ms
Generation 12 completed in 0.85 ms
Generation 13 completed in 0.88 ms
Generation 14 completed in 0.71 ms
Generation 15 completed in 0.71 ms
Generation 16 completed in 0.72 ms
Generation 17 completed in 0.68 ms
Generation 18 completed in 0.75 ms
Generation 19 completed in 0.74 ms
Generation 20 completed in 0.70 ms
Generation 21 completed in 0.73 ms
Generation 22 completed in 0.71 ms
Generation 23 completed in 0.66 ms
Generation 24 completed in 0.89 ms
Generation 25 completed in 0.84 ms
Generation 26 completed in 0.63 ms
Generation 27 completed in 0.56 ms
Generation 28 completed in 0.67 ms
Generation 29 completed in 0.60 ms
Generation 30 completed in 0.61 ms
Generation 31 completed in 0.61 ms
Generation 32 completed in 0.73 ms
Generation 33 completed in 0.70 ms
Generation 34 completed in 0.74 ms
Generation 35 completed in 0.65 ms
Generation 36 completed in 0.59 ms
Generation 37 completed in 0.60 ms
Generation 38 completed in 0.65 ms
Generation 39 completed in 0.76 ms
Generation 40 completed in 0.74 ms
Generation 41 completed in 0.71 ms
Generation 42 completed in 0.72 ms
Generation 43 completed in 0.63 ms
Generation 44 completed in 0.67 ms
Generation 45 completed in 0.61 ms
Generation 46 completed in 0.63 ms
Generation 47 completed in 0.62 ms
Generation 48 completed in 0.71 ms
Generation 49 completed in 0.68 ms
Generation 50 completed in 0.65 ms
Generation 51 completed in 0.58 ms
Best chromosome: 20 13 28 21 32 27 43 30 29 16 26 42 18 36 5 6 17 35 37 7 39 19 22 10 8 14 46 12 24 11 45 0 15 33 40 2 31 38 47 4 23 34 3 1 25 9 41 44 
Best distance: 60199.491750
