Execution completed in 16902.22 ms
Data loaded in 6.90 ms
Generation 2 completed in 421.36 ms
Generation 3 completed in 386.61 ms
Generation 4 completed in 363.87 ms
Generation 5 completed in 347.52 ms
Generation 6 completed in 342.55 ms
Generation 7 completed in 337.27 ms
Generation 8 completed in 341.15 ms
Generation 9 completed in 334.61 ms
Generation 10 completed in 337.85 ms
Generation 11 completed in 336.10 ms
Generation 12 completed in 368.56 ms
Generation 13 completed in 346.80 ms
Generation 14 completed in 335.17 ms
Generation 15 completed in 336.47 ms
Generation 16 completed in 333.33 ms
Generation 17 completed in 329.64 ms
Generation 18 completed in 329.82 ms
Generation 19 completed in 327.83 ms
Generation 20 completed in 326.27 ms
Generation 21 completed in 334.99 ms
Generation 22 completed in 324.94 ms
Generation 23 completed in 329.13 ms
Generation 24 completed in 327.93 ms
Generation 25 completed in 325.25 ms
Generation 26 completed in 325.14 ms
Generation 27 completed in 329.35 ms
Generation 28 completed in 329.07 ms
Generation 29 completed in 325.04 ms
Generation 30 completed in 327.58 ms
Generation 31 completed in 325.71 ms
Generation 32 completed in 329.20 ms
Generation 33 completed in 326.26 ms
Generation 34 completed in 327.43 ms
Generation 35 completed in 329.47 ms
Generation 36 completed in 330.38 ms
Generation 37 completed in 323.15 ms
Generation 38 completed in 325.66 ms
Generation 39 completed in 324.84 ms
Generation 40 completed in 328.17 ms
Generation 41 completed in 324.86 ms
Generation 42 completed in 368.28 ms
Generation 43 completed in 338.86 ms
Generation 44 completed in 328.78 ms
Generation 45 completed in 323.75 ms
Generation 46 completed in 330.38 ms
Generation 47 completed in 327.14 ms
Generation 48 completed in 318.16 ms
Generation 49 completed in 321.30 ms
Generation 50 completed in 317.83 ms
Generation 51 completed in 324.29 ms
Best chromosome: 44 23 41 28 40 38 31 46 20 14 45 6 27 16 17 5 36 18 29 42 26 30 11 32 19 35 37 43 39 8 15 22 13 12 24 10 21 0 7 2 33 4 47 1 9 3 25 34 
Best distance: 54240.364831
