Execution completed in 34.00 ms
Data loaded in 0.11 ms
Generation 2 completed in 0.83 ms
Generation 3 completed in 0.70 ms
Generation 4 completed in 0.79 ms
Generation 5 completed in 0.70 ms
Generation 6 completed in 0.70 ms
Generation 7 completed in 0.62 ms
Generation 8 completed in 0.71 ms
Generation 9 completed in 0.76 ms
Generation 10 completed in 0.68 ms
Generation 11 completed in 0.64 ms
Generation 12 completed in 0.73 ms
Generation 13 completed in 0.64 ms
Generation 14 completed in 0.65 ms
Generation 15 completed in 0.74 ms
Generation 16 completed in 0.63 ms
Generation 17 completed in 0.71 ms
Generation 18 completed in 0.68 ms
Generation 19 completed in 0.73 ms
Generation 20 completed in 0.68 ms
Generation 21 completed in 0.62 ms
Generation 22 completed in 0.72 ms
Generation 23 completed in 0.67 ms
Generation 24 completed in 0.68 ms
Generation 25 completed in 0.66 ms
Generation 26 completed in 0.64 ms
Generation 27 completed in 0.62 ms
Generation 28 completed in 0.68 ms
Generation 29 completed in 0.66 ms
Generation 30 completed in 0.65 ms
Generation 31 completed in 0.67 ms
Generation 32 completed in 0.82 ms
Generation 33 completed in 0.73 ms
Generation 34 completed in 0.62 ms
Generation 35 completed in 0.63 ms
Generation 36 completed in 0.55 ms
Generation 37 completed in 0.55 ms
Generation 38 completed in 0.56 ms
Generation 39 completed in 0.64 ms
Generation 40 completed in 0.69 ms
Generation 41 completed in 0.59 ms
Generation 42 completed in 0.72 ms
Generation 43 completed in 0.64 ms
Generation 44 completed in 0.66 ms
Generation 45 completed in 0.68 ms
Generation 46 completed in 0.67 ms
Generation 47 completed in 0.58 ms
Generation 48 completed in 0.64 ms
Generation 49 completed in 0.65 ms
Generation 50 completed in 0.61 ms
Generation 51 completed in 0.65 ms
Best chromosome: 17 30 8 15 7 10 46 11 45 37 14 39 32 19 6 0 21 22 13 12 33 2 35 43 5 36 29 18 26 42 31 24 20 47 41 9 34 44 3 25 1 28 40 4 23 38 27 16 
Best distance: 62734.815503
