Execution completed in 35.20 ms
Data loaded in 0.10 ms
Generation 2 completed in 0.81 ms
Generation 3 completed in 0.78 ms
Generation 4 completed in 0.76 ms
Generation 5 completed in 0.76 ms
Generation 6 completed in 0.75 ms
Generation 7 completed in 0.84 ms
Generation 8 completed in 0.75 ms
Generation 9 completed in 0.67 ms
Generation 10 completed in 0.70 ms
Generation 11 completed in 0.63 ms
Generation 12 completed in 0.65 ms
Generation 13 completed in 0.62 ms
Generation 14 completed in 0.68 ms
Generation 15 completed in 0.74 ms
Generation 16 completed in 0.69 ms
Generation 17 completed in 0.67 ms
Generation 18 completed in 0.60 ms
Generation 19 completed in 0.68 ms
Generation 20 completed in 0.59 ms
Generation 21 completed in 0.75 ms
Generation 22 completed in 0.71 ms
Generation 23 completed in 0.64 ms
Generation 24 completed in 0.69 ms
Generation 25 completed in 0.65 ms
Generation 26 completed in 0.63 ms
Generation 27 completed in 0.81 ms
Generation 28 completed in 0.70 ms
Generation 29 completed in 0.69 ms
Generation 30 completed in 0.69 ms
Generation 31 completed in 0.64 ms
Generation 32 completed in 0.88 ms
Generation 33 completed in 0.81 ms
Generation 34 completed in 0.60 ms
Generation 35 completed in 0.78 ms
Generation 36 completed in 0.68 ms
Generation 37 completed in 0.65 ms
Generation 38 completed in 0.62 ms
Generation 39 completed in 0.65 ms
Generation 40 completed in 0.63 ms
Generation 41 completed in 0.70 ms
Generation 42 completed in 0.82 ms
Generation 43 completed in 0.74 ms
Generation 44 completed in 0.71 ms
Generation 45 completed in 0.75 ms
Generation 46 completed in 0.67 ms
Generation 47 completed in 0.69 ms
Generation 48 completed in 0.64 ms
Generation 49 completed in 0.56 ms
Generation 50 completed in 0.59 ms
Generation 51 completed in 0.58 ms
Best chromosome: 4 40 30 45 43 35 46 11 32 22 28 47 41 9 3 38 31 20 10 13 12 21 15 2 8 37 0 39 17 27 6 5 36 26 18 19 29 42 16 7 14 33 24 23 44 34 25 1 
Best distance: 63962.771311
