Execution completed in 16928.99 ms
Data loaded in 6.70 ms
Generation 2 completed in 428.85 ms
Generation 3 completed in 389.91 ms
Generation 4 completed in 367.08 ms
Generation 5 completed in 356.60 ms
Generation 6 completed in 343.77 ms
Generation 7 completed in 356.72 ms
Generation 8 completed in 342.52 ms
Generation 9 completed in 337.13 ms
Generation 10 completed in 335.57 ms
Generation 11 completed in 334.12 ms
Generation 12 completed in 370.34 ms
Generation 13 completed in 347.96 ms
Generation 14 completed in 336.15 ms
Generation 15 completed in 330.98 ms
Generation 16 completed in 344.58 ms
Generation 17 completed in 330.99 ms
Generation 18 completed in 329.15 ms
Generation 19 completed in 326.39 ms
Generation 20 completed in 331.82 ms
Generation 21 completed in 327.26 ms
Generation 22 completed in 364.89 ms
Generation 23 completed in 337.17 ms
Generation 24 completed in 331.42 ms
Generation 25 completed in 331.42 ms
Generation 26 completed in 325.88 ms
Generation 27 completed in 324.34 ms
Generation 28 completed in 327.83 ms
Generation 29 completed in 322.02 ms
Generation 30 completed in 317.84 ms
Generation 31 completed in 321.13 ms
Generation 32 completed in 363.74 ms
Generation 33 completed in 343.51 ms
Generation 34 completed in 331.98 ms
Generation 35 completed in 327.19 ms
Generation 36 completed in 326.69 ms
Generation 37 completed in 320.11 ms
Generation 38 completed in 319.63 ms
Generation 39 completed in 318.69 ms
Generation 40 completed in 326.58 ms
Generation 41 completed in 323.50 ms
Generation 42 completed in 321.37 ms
Generation 43 completed in 313.41 ms
Generation 44 completed in 320.61 ms
Generation 45 completed in 319.65 ms
Generation 46 completed in 317.97 ms
Generation 47 completed in 325.17 ms
Generation 48 completed in 324.98 ms
Generation 49 completed in 318.84 ms
Generation 50 completed in 325.64 ms
Generation 51 completed in 323.92 ms
Best chromosome: 26 29 17 42 35 46 20 38 31 47 15 0 8 7 2 22 19 32 43 30 37 14 11 10 13 24 12 33 28 4 41 9 23 25 3 34 44 1 21 40 39 45 6 27 5 36 18 16 
Best distance: 52607.340325
