Execution completed in 265271.31 ms
Data loaded in 98.15 ms
Generation 2 completed in 6680.31 ms
Generation 3 completed in 6090.63 ms
Generation 4 completed in 5690.91 ms
Generation 5 completed in 5486.25 ms
Generation 6 completed in 5382.67 ms
Generation 7 completed in 5397.69 ms
Generation 8 completed in 5313.01 ms
Generation 9 completed in 5257.67 ms
Generation 10 completed in 5231.45 ms
Generation 11 completed in 5225.31 ms
Generation 12 completed in 5858.65 ms
Generation 13 completed in 5440.75 ms
Generation 14 completed in 5244.83 ms
Generation 15 completed in 5195.22 ms
Generation 16 completed in 5147.80 ms
Generation 17 completed in 5152.14 ms
Generation 18 completed in 5187.35 ms
Generation 19 completed in 5183.85 ms
Generation 20 completed in 5148.45 ms
Generation 21 completed in 5118.76 ms
Generation 22 completed in 5749.90 ms
Generation 23 completed in 5374.38 ms
Generation 24 completed in 5196.74 ms
Generation 25 completed in 5145.62 ms
Generation 26 completed in 5108.40 ms
Generation 27 completed in 5075.13 ms
Generation 28 completed in 5099.10 ms
Generation 29 completed in 5137.49 ms
Generation 30 completed in 5280.71 ms
Generation 31 completed in 5188.82 ms
Generation 32 completed in 5195.94 ms
Generation 33 completed in 5214.84 ms
Generation 34 completed in 5208.93 ms
Generation 35 completed in 5086.94 ms
Generation 36 completed in 5023.56 ms
Generation 37 completed in 5041.00 ms
Generation 38 completed in 5037.09 ms
Generation 39 completed in 5079.14 ms
Generation 40 completed in 5044.75 ms
Generation 41 completed in 5052.78 ms
Generation 42 completed in 5727.44 ms
Generation 43 completed in 5324.30 ms
Generation 44 completed in 5102.73 ms
Generation 45 completed in 5010.33 ms
Generation 46 completed in 5004.34 ms
Generation 47 completed in 5000.15 ms
Generation 48 completed in 4994.29 ms
Generation 49 completed in 4999.89 ms
Generation 50 completed in 5024.19 ms
Generation 51 completed in 5037.71 ms
Best chromosome: 47 40 28 4 12 20 46 19 45 13 22 10 11 39 30 14 32 5 26 17 6 35 27 29 42 16 18 36 43 37 7 8 0 15 21 33 2 24 38 31 23 9 41 25 1 3 34 44 
Best distance: 50100.578402
