Execution completed in 135918.72 ms
Data loaded in 53.94 ms
Generation 2 completed in 3451.92 ms
Generation 3 completed in 3155.92 ms
Generation 4 completed in 2921.13 ms
Generation 5 completed in 2840.10 ms
Generation 6 completed in 2774.92 ms
Generation 7 completed in 2738.00 ms
Generation 8 completed in 2708.85 ms
Generation 9 completed in 2718.90 ms
Generation 10 completed in 2693.29 ms
Generation 11 completed in 2682.84 ms
Generation 12 completed in 2982.96 ms
Generation 13 completed in 2798.60 ms
Generation 14 completed in 2687.21 ms
Generation 15 completed in 2655.11 ms
Generation 16 completed in 2644.83 ms
Generation 17 completed in 2642.40 ms
Generation 18 completed in 2645.50 ms
Generation 19 completed in 2625.69 ms
Generation 20 completed in 2650.09 ms
Generation 21 completed in 2643.01 ms
Generation 22 completed in 2941.57 ms
Generation 23 completed in 2761.39 ms
Generation 24 completed in 2661.12 ms
Generation 25 completed in 2616.35 ms
Generation 26 completed in 2633.18 ms
Generation 27 completed in 2602.15 ms
Generation 28 completed in 2596.78 ms
Generation 29 completed in 2621.80 ms
Generation 30 completed in 2601.87 ms
Generation 31 completed in 2593.00 ms
Generation 32 completed in 2922.79 ms
Generation 33 completed in 2720.09 ms
Generation 34 completed in 2624.33 ms
Generation 35 completed in 2607.06 ms
Generation 36 completed in 2588.31 ms
Generation 37 completed in 2579.40 ms
Generation 38 completed in 2564.40 ms
Generation 39 completed in 2592.41 ms
Generation 40 completed in 2573.37 ms
Generation 41 completed in 2584.72 ms
Generation 42 completed in 2910.79 ms
Generation 43 completed in 2715.88 ms
Generation 44 completed in 2618.14 ms
Generation 45 completed in 2570.70 ms
Generation 46 completed in 2576.32 ms
Generation 47 completed in 2587.73 ms
Generation 48 completed in 2546.13 ms
Generation 49 completed in 2560.69 ms
Generation 50 completed in 2569.80 ms
Generation 51 completed in 2548.30 ms
Best chromosome: 39 21 10 32 35 6 43 45 8 30 37 0 7 15 40 33 2 22 24 12 13 23 44 34 9 41 25 3 1 28 4 38 31 47 11 14 19 20 46 5 27 17 29 42 18 26 16 36 
Best distance: 50527.560131
