Execution completed in 136394.20 ms
Data loaded in 55.21 ms
Generation 2 completed in 3462.76 ms
Generation 3 completed in 3113.25 ms
Generation 4 completed in 2907.77 ms
Generation 5 completed in 2841.51 ms
Generation 6 completed in 2754.46 ms
Generation 7 completed in 2741.38 ms
Generation 8 completed in 2713.28 ms
Generation 9 completed in 2705.12 ms
Generation 10 completed in 2701.28 ms
Generation 11 completed in 2688.97 ms
Generation 12 completed in 2999.38 ms
Generation 13 completed in 2793.58 ms
Generation 14 completed in 2701.26 ms
Generation 15 completed in 2669.81 ms
Generation 16 completed in 2652.42 ms
Generation 17 completed in 2684.61 ms
Generation 18 completed in 2661.03 ms
Generation 19 completed in 2633.49 ms
Generation 20 completed in 2635.18 ms
Generation 21 completed in 2640.47 ms
Generation 22 completed in 2951.69 ms
Generation 23 completed in 2767.21 ms
Generation 24 completed in 2714.26 ms
Generation 25 completed in 2634.07 ms
Generation 26 completed in 2630.38 ms
Generation 27 completed in 2619.68 ms
Generation 28 completed in 2598.18 ms
Generation 29 completed in 2605.26 ms
Generation 30 completed in 2579.17 ms
Generation 31 completed in 2616.73 ms
Generation 32 completed in 2912.48 ms
Generation 33 completed in 2743.79 ms
Generation 34 completed in 2647.96 ms
Generation 35 completed in 2605.11 ms
Generation 36 completed in 2620.08 ms
Generation 37 completed in 2602.35 ms
Generation 38 completed in 2586.16 ms
Generation 39 completed in 2583.93 ms
Generation 40 completed in 2579.78 ms
Generation 41 completed in 2619.31 ms
Generation 42 completed in 2936.42 ms
Generation 43 completed in 2720.59 ms
Generation 44 completed in 2615.57 ms
Generation 45 completed in 2600.63 ms
Generation 46 completed in 2591.97 ms
Generation 47 completed in 2574.23 ms
Generation 48 completed in 2600.11 ms
Generation 49 completed in 2592.47 ms
Generation 50 completed in 2588.07 ms
Generation 51 completed in 2585.23 ms
Best chromosome: 8 10 11 32 45 39 0 21 7 37 30 43 6 35 27 26 16 42 29 14 46 22 12 24 38 31 23 9 34 44 25 3 41 4 28 1 47 13 33 40 15 17 18 36 5 19 20 2 
Best distance: 49110.685301
