Execution completed in 2114.76 ms
Data loaded in 0.87 ms
Generation 2 completed in 53.90 ms
Generation 3 completed in 49.13 ms
Generation 4 completed in 44.74 ms
Generation 5 completed in 44.59 ms
Generation 6 completed in 43.21 ms
Generation 7 completed in 42.49 ms
Generation 8 completed in 41.96 ms
Generation 9 completed in 42.08 ms
Generation 10 completed in 41.98 ms
Generation 11 completed in 41.69 ms
Generation 12 completed in 47.33 ms
Generation 13 completed in 43.09 ms
Generation 14 completed in 42.20 ms
Generation 15 completed in 41.61 ms
Generation 16 completed in 40.82 ms
Generation 17 completed in 40.86 ms
Generation 18 completed in 40.32 ms
Generation 19 completed in 40.45 ms
Generation 20 completed in 41.46 ms
Generation 21 completed in 40.84 ms
Generation 22 completed in 41.09 ms
Generation 23 completed in 41.21 ms
Generation 24 completed in 40.41 ms
Generation 25 completed in 41.78 ms
Generation 26 completed in 41.82 ms
Generation 27 completed in 41.95 ms
Generation 28 completed in 42.15 ms
Generation 29 completed in 41.47 ms
Generation 30 completed in 40.93 ms
Generation 31 completed in 40.55 ms
Generation 32 completed in 40.77 ms
Generation 33 completed in 41.33 ms
Generation 34 completed in 40.69 ms
Generation 35 completed in 42.08 ms
Generation 36 completed in 40.79 ms
Generation 37 completed in 39.71 ms
Generation 38 completed in 40.64 ms
Generation 39 completed in 40.25 ms
Generation 40 completed in 40.16 ms
Generation 41 completed in 41.32 ms
Generation 42 completed in 46.37 ms
Generation 43 completed in 42.19 ms
Generation 44 completed in 40.59 ms
Generation 45 completed in 40.58 ms
Generation 46 completed in 40.52 ms
Generation 47 completed in 40.26 ms
Generation 48 completed in 40.15 ms
Generation 49 completed in 40.13 ms
Generation 50 completed in 39.97 ms
Generation 51 completed in 41.24 ms
Best chromosome: 31 24 13 33 40 28 8 19 10 22 11 46 17 18 29 26 16 42 36 5 6 37 7 21 15 0 39 30 35 14 32 45 27 43 2 12 20 38 23 44 34 9 25 41 3 1 4 47 
Best distance: 55150.447284
