Execution completed in 16915.08 ms
Data loaded in 6.85 ms
Generation 2 completed in 423.55 ms
Generation 3 completed in 391.25 ms
Generation 4 completed in 365.02 ms
Generation 5 completed in 349.25 ms
Generation 6 completed in 349.67 ms
Generation 7 completed in 343.80 ms
Generation 8 completed in 343.87 ms
Generation 9 completed in 337.54 ms
Generation 10 completed in 333.62 ms
Generation 11 completed in 338.59 ms
Generation 12 completed in 334.20 ms
Generation 13 completed in 334.43 ms
Generation 14 completed in 335.39 ms
Generation 15 completed in 334.75 ms
Generation 16 completed in 338.73 ms
Generation 17 completed in 335.57 ms
Generation 18 completed in 329.61 ms
Generation 19 completed in 333.82 ms
Generation 20 completed in 325.41 ms
Generation 21 completed in 331.43 ms
Generation 22 completed in 365.19 ms
Generation 23 completed in 343.44 ms
Generation 24 completed in 333.32 ms
Generation 25 completed in 332.96 ms
Generation 26 completed in 324.57 ms
Generation 27 completed in 321.36 ms
Generation 28 completed in 323.93 ms
Generation 29 completed in 323.43 ms
Generation 30 completed in 323.52 ms
Generation 31 completed in 330.99 ms
Generation 32 completed in 367.01 ms
Generation 33 completed in 335.50 ms
Generation 34 completed in 330.55 ms
Generation 35 completed in 323.04 ms
Generation 36 completed in 320.94 ms
Generation 37 completed in 321.64 ms
Generation 38 completed in 317.90 ms
Generation 39 completed in 324.29 ms
Generation 40 completed in 326.31 ms
Generation 41 completed in 323.82 ms
Generation 42 completed in 361.36 ms
Generation 43 completed in 334.47 ms
Generation 44 completed in 328.39 ms
Generation 45 completed in 322.49 ms
Generation 46 completed in 320.11 ms
Generation 47 completed in 321.90 ms
Generation 48 completed in 320.34 ms
Generation 49 completed in 315.40 ms
Generation 50 completed in 316.22 ms
Generation 51 completed in 317.12 ms
Best chromosome: 35 36 43 6 17 26 27 5 16 18 29 42 19 11 10 46 13 24 22 47 4 41 3 23 44 34 9 25 1 28 40 33 2 15 7 0 8 37 39 14 32 45 21 12 38 31 20 30 
Best distance: 50922.974220
