Execution completed in 2123.25 ms
Data loaded in 0.85 ms
Generation 2 completed in 52.88 ms
Generation 3 completed in 48.93 ms
Generation 4 completed in 45.23 ms
Generation 5 completed in 44.50 ms
Generation 6 completed in 43.09 ms
Generation 7 completed in 43.14 ms
Generation 8 completed in 40.60 ms
Generation 9 completed in 41.98 ms
Generation 10 completed in 43.37 ms
Generation 11 completed in 42.30 ms
Generation 12 completed in 42.30 ms
Generation 13 completed in 42.30 ms
Generation 14 completed in 42.63 ms
Generation 15 completed in 42.50 ms
Generation 16 completed in 40.77 ms
Generation 17 completed in 42.02 ms
Generation 18 completed in 41.65 ms
Generation 19 completed in 42.01 ms
Generation 20 completed in 41.65 ms
Generation 21 completed in 41.41 ms
Generation 22 completed in 47.39 ms
Generation 23 completed in 43.28 ms
Generation 24 completed in 42.40 ms
Generation 25 completed in 41.40 ms
Generation 26 completed in 41.64 ms
Generation 27 completed in 41.05 ms
Generation 28 completed in 40.90 ms
Generation 29 completed in 40.79 ms
Generation 30 completed in 41.06 ms
Generation 31 completed in 40.11 ms
Generation 32 completed in 43.84 ms
Generation 33 completed in 42.62 ms
Generation 34 completed in 39.95 ms
Generation 35 completed in 40.63 ms
Generation 36 completed in 41.12 ms
Generation 37 completed in 39.37 ms
Generation 38 completed in 39.88 ms
Generation 39 completed in 41.09 ms
Generation 40 completed in 39.23 ms
Generation 41 completed in 39.75 ms
Generation 42 completed in 45.05 ms
Generation 43 completed in 42.50 ms
Generation 44 completed in 41.65 ms
Generation 45 completed in 40.16 ms
Generation 46 completed in 39.31 ms
Generation 47 completed in 40.09 ms
Generation 48 completed in 40.64 ms
Generation 49 completed in 40.24 ms
Generation 50 completed in 40.91 ms
Generation 51 completed in 41.37 ms
Best chromosome: 2 33 11 22 12 14 0 7 21 39 8 37 6 17 27 30 43 35 32 45 5 16 26 29 36 18 42 20 46 19 10 24 13 47 38 31 4 3 25 28 41 23 9 34 44 1 40 15 
Best distance: 53180.350193
