Execution completed in 135780.24 ms
Data loaded in 54.99 ms
Generation 2 completed in 3421.90 ms
Generation 3 completed in 3124.73 ms
Generation 4 completed in 2900.46 ms
Generation 5 completed in 2796.67 ms
Generation 6 completed in 2749.01 ms
Generation 7 completed in 2712.80 ms
Generation 8 completed in 2693.61 ms
Generation 9 completed in 2693.18 ms
Generation 10 completed in 2699.47 ms
Generation 11 completed in 2682.57 ms
Generation 12 completed in 2976.26 ms
Generation 13 completed in 2810.38 ms
Generation 14 completed in 2681.86 ms
Generation 15 completed in 2640.44 ms
Generation 16 completed in 2645.26 ms
Generation 17 completed in 2634.12 ms
Generation 18 completed in 2647.68 ms
Generation 19 completed in 2616.50 ms
Generation 20 completed in 2628.02 ms
Generation 21 completed in 2660.47 ms
Generation 22 completed in 2966.41 ms
Generation 23 completed in 2740.00 ms
Generation 24 completed in 2664.43 ms
Generation 25 completed in 2621.07 ms
Generation 26 completed in 2601.39 ms
Generation 27 completed in 2573.33 ms
Generation 28 completed in 2593.10 ms
Generation 29 completed in 2590.18 ms
Generation 30 completed in 2573.90 ms
Generation 31 completed in 2591.20 ms
Generation 32 completed in 2939.56 ms
Generation 33 completed in 2724.20 ms
Generation 34 completed in 2627.60 ms
Generation 35 completed in 2590.83 ms
Generation 36 completed in 2580.37 ms
Generation 37 completed in 2605.09 ms
Generation 38 completed in 2565.00 ms
Generation 39 completed in 2544.72 ms
Generation 40 completed in 2575.44 ms
Generation 41 completed in 2571.52 ms
Generation 42 completed in 2902.21 ms
Generation 43 completed in 2706.00 ms
Generation 44 completed in 2618.51 ms
Generation 45 completed in 2597.18 ms
Generation 46 completed in 2574.98 ms
Generation 47 completed in 2585.93 ms
Generation 48 completed in 2563.43 ms
Generation 49 completed in 2569.53 ms
Generation 50 completed in 2610.32 ms
Generation 51 completed in 2620.45 ms
Best chromosome: 9 41 47 4 24 13 22 0 8 7 21 15 2 33 40 37 35 36 18 5 29 26 42 16 27 30 43 6 45 39 14 11 12 10 46 19 17 32 20 38 31 23 25 44 34 3 1 28 
Best distance: 49077.323826
