Execution completed in 2117.39 ms
Data loaded in 0.86 ms
Generation 2 completed in 54.19 ms
Generation 3 completed in 49.59 ms
Generation 4 completed in 44.06 ms
Generation 5 completed in 42.55 ms
Generation 6 completed in 40.94 ms
Generation 7 completed in 41.45 ms
Generation 8 completed in 41.74 ms
Generation 9 completed in 41.60 ms
Generation 10 completed in 41.05 ms
Generation 11 completed in 42.91 ms
Generation 12 completed in 41.77 ms
Generation 13 completed in 43.14 ms
Generation 14 completed in 40.80 ms
Generation 15 completed in 43.34 ms
Generation 16 completed in 41.81 ms
Generation 17 completed in 41.72 ms
Generation 18 completed in 42.47 ms
Generation 19 completed in 40.39 ms
Generation 20 completed in 41.55 ms
Generation 21 completed in 42.13 ms
Generation 22 completed in 47.40 ms
Generation 23 completed in 44.21 ms
Generation 24 completed in 41.44 ms
Generation 25 completed in 40.28 ms
Generation 26 completed in 41.50 ms
Generation 27 completed in 41.32 ms
Generation 28 completed in 40.24 ms
Generation 29 completed in 41.79 ms
Generation 30 completed in 41.21 ms
Generation 31 completed in 40.76 ms
Generation 32 completed in 45.21 ms
Generation 33 completed in 41.96 ms
Generation 34 completed in 41.84 ms
Generation 35 completed in 40.67 ms
Generation 36 completed in 40.63 ms
Generation 37 completed in 42.05 ms
Generation 38 completed in 40.80 ms
Generation 39 completed in 40.90 ms
Generation 40 completed in 38.67 ms
Generation 41 completed in 39.92 ms
Generation 42 completed in 40.11 ms
Generation 43 completed in 40.52 ms
Generation 44 completed in 40.98 ms
Generation 45 completed in 40.47 ms
Generation 46 completed in 41.05 ms
Generation 47 completed in 40.49 ms
Generation 48 completed in 40.72 ms
Generation 49 completed in 41.14 ms
Generation 50 completed in 40.78 ms
Generation 51 completed in 40.61 ms
Best chromosome: 36 43 6 27 17 35 45 14 8 39 21 40 15 0 2 24 38 20 25 9 23 34 44 3 1 28 47 4 41 22 12 33 13 31 19 10 11 32 5 26 18 29 42 16 46 7 37 30 
Best distance: 57948.169716
