Execution completed in 264187.23 ms
Data loaded in 98.09 ms
Generation 2 completed in 6699.92 ms
Generation 3 completed in 6064.84 ms
Generation 4 completed in 5681.23 ms
Generation 5 completed in 5507.35 ms
Generation 6 completed in 5368.12 ms
Generation 7 completed in 5336.21 ms
Generation 8 completed in 5275.97 ms
Generation 9 completed in 5256.48 ms
Generation 10 completed in 5209.71 ms
Generation 11 completed in 5217.41 ms
Generation 12 completed in 5232.29 ms
Generation 13 completed in 5211.77 ms
Generation 14 completed in 5210.79 ms
Generation 15 completed in 5208.26 ms
Generation 16 completed in 5209.37 ms
Generation 17 completed in 5165.31 ms
Generation 18 completed in 5205.95 ms
Generation 19 completed in 5196.71 ms
Generation 20 completed in 5130.07 ms
Generation 21 completed in 5150.10 ms
Generation 22 completed in 5169.33 ms
Generation 23 completed in 5153.32 ms
Generation 24 completed in 5152.03 ms
Generation 25 completed in 5098.00 ms
Generation 26 completed in 5120.80 ms
Generation 27 completed in 5116.22 ms
Generation 28 completed in 5081.78 ms
Generation 29 completed in 5086.61 ms
Generation 30 completed in 5110.89 ms
Generation 31 completed in 5128.32 ms
Generation 32 completed in 5744.70 ms
Generation 33 completed in 5363.55 ms
Generation 34 completed in 5195.50 ms
Generation 35 completed in 5072.20 ms
Generation 36 completed in 5079.01 ms
Generation 37 completed in 5058.32 ms
Generation 38 completed in 5059.04 ms
Generation 39 completed in 5057.51 ms
Generation 40 completed in 5049.37 ms
Generation 41 completed in 5091.75 ms
Generation 42 completed in 5699.05 ms
Generation 43 completed in 5254.73 ms
Generation 44 completed in 5132.27 ms
Generation 45 completed in 5096.34 ms
Generation 46 completed in 5022.03 ms
Generation 47 completed in 5057.25 ms
Generation 48 completed in 5015.07 ms
Generation 49 completed in 5052.76 ms
Generation 50 completed in 5022.67 ms
Generation 51 completed in 5029.44 ms
Best chromosome: 35 17 30 45 11 14 32 39 40 33 2 15 0 7 8 37 21 22 12 24 13 20 46 31 4 47 38 23 9 34 44 3 25 28 1 41 10 19 43 27 6 5 36 18 16 42 26 29 
Best distance: 47266.646099
