Execution completed in 264583.16 ms
Data loaded in 96.65 ms
Generation 2 completed in 6661.17 ms
Generation 3 completed in 6054.65 ms
Generation 4 completed in 5729.39 ms
Generation 5 completed in 5485.64 ms
Generation 6 completed in 5400.85 ms
Generation 7 completed in 5311.79 ms
Generation 8 completed in 5304.44 ms
Generation 9 completed in 5275.46 ms
Generation 10 completed in 5207.32 ms
Generation 11 completed in 5289.77 ms
Generation 12 completed in 5829.21 ms
Generation 13 completed in 5437.40 ms
Generation 14 completed in 5234.99 ms
Generation 15 completed in 5280.49 ms
Generation 16 completed in 5177.32 ms
Generation 17 completed in 5116.98 ms
Generation 18 completed in 5127.15 ms
Generation 19 completed in 5158.26 ms
Generation 20 completed in 5084.24 ms
Generation 21 completed in 5123.66 ms
Generation 22 completed in 5768.55 ms
Generation 23 completed in 5324.91 ms
Generation 24 completed in 5145.28 ms
Generation 25 completed in 5117.28 ms
Generation 26 completed in 5117.65 ms
Generation 27 completed in 5048.41 ms
Generation 28 completed in 5042.54 ms
Generation 29 completed in 5056.57 ms
Generation 30 completed in 5068.94 ms
Generation 31 completed in 5073.28 ms
Generation 32 completed in 5648.57 ms
Generation 33 completed in 5310.26 ms
Generation 34 completed in 5131.78 ms
Generation 35 completed in 5057.69 ms
Generation 36 completed in 5025.49 ms
Generation 37 completed in 5030.00 ms
Generation 38 completed in 5049.17 ms
Generation 39 completed in 5018.58 ms
Generation 40 completed in 5001.37 ms
Generation 41 completed in 5051.91 ms
Generation 42 completed in 5676.97 ms
Generation 43 completed in 5259.80 ms
Generation 44 completed in 5105.98 ms
Generation 45 completed in 5046.53 ms
Generation 46 completed in 5025.46 ms
Generation 47 completed in 4977.11 ms
Generation 48 completed in 5017.42 ms
Generation 49 completed in 5040.00 ms
Generation 50 completed in 5010.43 ms
Generation 51 completed in 4978.47 ms
Best chromosome: 44 34 25 3 38 31 47 4 13 24 22 11 14 37 43 35 17 42 29 18 26 5 6 30 16 36 27 19 20 10 46 12 2 39 32 45 15 7 8 0 21 40 33 28 1 41 23 9 
Best distance: 49260.826271
