Execution completed in 2110.16 ms
Data loaded in 0.87 ms
Generation 2 completed in 53.02 ms
Generation 3 completed in 48.39 ms
Generation 4 completed in 47.63 ms
Generation 5 completed in 45.70 ms
Generation 6 completed in 42.93 ms
Generation 7 completed in 41.42 ms
Generation 8 completed in 41.76 ms
Generation 9 completed in 43.18 ms
Generation 10 completed in 42.98 ms
Generation 11 completed in 43.99 ms
Generation 12 completed in 46.59 ms
Generation 13 completed in 43.10 ms
Generation 14 completed in 43.65 ms
Generation 15 completed in 42.27 ms
Generation 16 completed in 41.49 ms
Generation 17 completed in 42.05 ms
Generation 18 completed in 40.80 ms
Generation 19 completed in 39.84 ms
Generation 20 completed in 40.46 ms
Generation 21 completed in 40.64 ms
Generation 22 completed in 46.51 ms
Generation 23 completed in 42.68 ms
Generation 24 completed in 41.63 ms
Generation 25 completed in 40.01 ms
Generation 26 completed in 40.19 ms
Generation 27 completed in 40.04 ms
Generation 28 completed in 40.42 ms
Generation 29 completed in 40.89 ms
Generation 30 completed in 39.65 ms
Generation 31 completed in 41.23 ms
Generation 32 completed in 39.40 ms
Generation 33 completed in 41.00 ms
Generation 34 completed in 39.65 ms
Generation 35 completed in 41.00 ms
Generation 36 completed in 37.70 ms
Generation 37 completed in 40.84 ms
Generation 38 completed in 39.86 ms
Generation 39 completed in 40.79 ms
Generation 40 completed in 39.77 ms
Generation 41 completed in 41.35 ms
Generation 42 completed in 45.98 ms
Generation 43 completed in 41.77 ms
Generation 44 completed in 40.42 ms
Generation 45 completed in 39.44 ms
Generation 46 completed in 39.30 ms
Generation 47 completed in 39.49 ms
Generation 48 completed in 38.54 ms
Generation 49 completed in 40.24 ms
Generation 50 completed in 39.46 ms
Generation 51 completed in 39.88 ms
Best chromosome: 10 22 13 24 12 46 47 38 31 23 44 34 25 3 9 41 4 28 1 37 14 45 19 43 30 27 6 35 8 21 15 7 0 40 33 2 39 11 5 36 26 29 42 18 16 17 32 20 
Best distance: 52036.587243
