Execution completed in 265011.85 ms
Data loaded in 99.02 ms
Generation 2 completed in 6661.94 ms
Generation 3 completed in 6078.99 ms
Generation 4 completed in 5697.73 ms
Generation 5 completed in 5475.92 ms
Generation 6 completed in 5388.38 ms
Generation 7 completed in 5328.69 ms
Generation 8 completed in 5277.54 ms
Generation 9 completed in 5256.55 ms
Generation 10 completed in 5270.93 ms
Generation 11 completed in 5261.21 ms
Generation 12 completed in 5867.80 ms
Generation 13 completed in 5429.32 ms
Generation 14 completed in 5284.67 ms
Generation 15 completed in 5237.21 ms
Generation 16 completed in 5185.69 ms
Generation 17 completed in 5164.16 ms
Generation 18 completed in 5147.28 ms
Generation 19 completed in 5149.10 ms
Generation 20 completed in 5142.37 ms
Generation 21 completed in 5124.67 ms
Generation 22 completed in 5129.10 ms
Generation 23 completed in 5113.05 ms
Generation 24 completed in 5120.30 ms
Generation 25 completed in 5076.70 ms
Generation 26 completed in 5096.04 ms
Generation 27 completed in 5090.35 ms
Generation 28 completed in 5117.13 ms
Generation 29 completed in 5107.21 ms
Generation 30 completed in 5088.53 ms
Generation 31 completed in 5116.87 ms
Generation 32 completed in 5736.62 ms
Generation 33 completed in 5365.66 ms
Generation 34 completed in 5133.19 ms
Generation 35 completed in 5117.02 ms
Generation 36 completed in 5055.88 ms
Generation 37 completed in 5093.32 ms
Generation 38 completed in 5017.90 ms
Generation 39 completed in 5084.95 ms
Generation 40 completed in 5025.98 ms
Generation 41 completed in 5108.45 ms
Generation 42 completed in 5753.33 ms
Generation 43 completed in 5299.09 ms
Generation 44 completed in 5107.32 ms
Generation 45 completed in 5082.53 ms
Generation 46 completed in 5028.87 ms
Generation 47 completed in 5045.29 ms
Generation 48 completed in 5052.48 ms
Generation 49 completed in 5071.97 ms
Generation 50 completed in 5022.14 ms
Generation 51 completed in 5057.45 ms
Best chromosome: 30 37 7 15 21 0 8 39 32 19 45 18 26 16 42 29 36 6 27 17 5 43 35 14 11 10 22 12 13 46 20 9 25 41 4 38 24 31 47 23 44 34 3 1 28 40 33 2 
Best distance: 49427.548759
