Execution completed in 135773.17 ms
Data loaded in 56.13 ms
Generation 2 completed in 3439.97 ms
Generation 3 completed in 3121.03 ms
Generation 4 completed in 2927.95 ms
Generation 5 completed in 2805.46 ms
Generation 6 completed in 2751.73 ms
Generation 7 completed in 2761.14 ms
Generation 8 completed in 2693.90 ms
Generation 9 completed in 2692.53 ms
Generation 10 completed in 2670.69 ms
Generation 11 completed in 2716.28 ms
Generation 12 completed in 2973.97 ms
Generation 13 completed in 2747.74 ms
Generation 14 completed in 2688.97 ms
Generation 15 completed in 2664.31 ms
Generation 16 completed in 2648.92 ms
Generation 17 completed in 2653.03 ms
Generation 18 completed in 2619.69 ms
Generation 19 completed in 2656.02 ms
Generation 20 completed in 2627.19 ms
Generation 21 completed in 2638.45 ms
Generation 22 completed in 2650.24 ms
Generation 23 completed in 2600.67 ms
Generation 24 completed in 2605.93 ms
Generation 25 completed in 2640.84 ms
Generation 26 completed in 2631.88 ms
Generation 27 completed in 2618.33 ms
Generation 28 completed in 2622.96 ms
Generation 29 completed in 2611.14 ms
Generation 30 completed in 2622.01 ms
Generation 31 completed in 2625.22 ms
Generation 32 completed in 2953.30 ms
Generation 33 completed in 2750.13 ms
Generation 34 completed in 2638.68 ms
Generation 35 completed in 2598.90 ms
Generation 36 completed in 2594.79 ms
Generation 37 completed in 2588.15 ms
Generation 38 completed in 2575.80 ms
Generation 39 completed in 2595.03 ms
Generation 40 completed in 2603.27 ms
Generation 41 completed in 2627.43 ms
Generation 42 completed in 2929.65 ms
Generation 43 completed in 2724.28 ms
Generation 44 completed in 2625.78 ms
Generation 45 completed in 2598.30 ms
Generation 46 completed in 2571.98 ms
Generation 47 completed in 2594.14 ms
Generation 48 completed in 2582.29 ms
Generation 49 completed in 2567.95 ms
Generation 50 completed in 2573.61 ms
Generation 51 completed in 2579.45 ms
Best chromosome: 33 40 4 38 31 23 47 28 1 3 25 34 44 9 41 15 21 7 8 0 37 14 32 19 35 16 5 17 29 42 26 18 36 27 45 6 43 30 39 2 10 12 22 46 24 20 11 13 
Best distance: 50608.633659
