Execution completed in 16955.91 ms
Data loaded in 6.96 ms
Generation 2 completed in 424.70 ms
Generation 3 completed in 397.52 ms
Generation 4 completed in 366.10 ms
Generation 5 completed in 349.48 ms
Generation 6 completed in 342.06 ms
Generation 7 completed in 343.51 ms
Generation 8 completed in 342.34 ms
Generation 9 completed in 333.70 ms
Generation 10 completed in 331.97 ms
Generation 11 completed in 332.32 ms
Generation 12 completed in 328.76 ms
Generation 13 completed in 333.37 ms
Generation 14 completed in 328.78 ms
Generation 15 completed in 335.46 ms
Generation 16 completed in 334.74 ms
Generation 17 completed in 330.74 ms
Generation 18 completed in 328.16 ms
Generation 19 completed in 326.87 ms
Generation 20 completed in 329.97 ms
Generation 21 completed in 335.40 ms
Generation 22 completed in 371.38 ms
Generation 23 completed in 343.81 ms
Generation 24 completed in 338.78 ms
Generation 25 completed in 333.21 ms
Generation 26 completed in 326.70 ms
Generation 27 completed in 326.84 ms
Generation 28 completed in 324.09 ms
Generation 29 completed in 327.59 ms
Generation 30 completed in 334.03 ms
Generation 31 completed in 325.20 ms
Generation 32 completed in 368.83 ms
Generation 33 completed in 340.09 ms
Generation 34 completed in 336.83 ms
Generation 35 completed in 332.04 ms
Generation 36 completed in 329.75 ms
Generation 37 completed in 325.88 ms
Generation 38 completed in 320.53 ms
Generation 39 completed in 323.61 ms
Generation 40 completed in 322.97 ms
Generation 41 completed in 321.28 ms
Generation 42 completed in 327.55 ms
Generation 43 completed in 325.28 ms
Generation 44 completed in 323.46 ms
Generation 45 completed in 326.74 ms
Generation 46 completed in 330.01 ms
Generation 47 completed in 323.49 ms
Generation 48 completed in 329.81 ms
Generation 49 completed in 325.00 ms
Generation 50 completed in 321.29 ms
Generation 51 completed in 321.65 ms
Best chromosome: 30 37 8 45 14 11 39 0 21 15 7 6 27 42 16 36 18 29 35 32 10 13 22 12 38 47 23 9 34 44 25 3 1 28 40 33 4 41 31 20 24 5 26 17 2 46 19 43 
Best distance: 52960.184700
