Execution completed in 267.33 ms
Data loaded in 0.20 ms
Generation 2 completed in 6.94 ms
Generation 3 completed in 6.55 ms
Generation 4 completed in 5.96 ms
Generation 5 completed in 5.53 ms
Generation 6 completed in 5.46 ms
Generation 7 completed in 5.32 ms
Generation 8 completed in 5.21 ms
Generation 9 completed in 5.07 ms
Generation 10 completed in 5.27 ms
Generation 11 completed in 5.05 ms
Generation 12 completed in 5.61 ms
Generation 13 completed in 5.41 ms
Generation 14 completed in 5.07 ms
Generation 15 completed in 5.48 ms
Generation 16 completed in 5.10 ms
Generation 17 completed in 5.25 ms
Generation 18 completed in 5.25 ms
Generation 19 completed in 5.24 ms
Generation 20 completed in 5.18 ms
Generation 21 completed in 5.15 ms
Generation 22 completed in 5.91 ms
Generation 23 completed in 5.41 ms
Generation 24 completed in 5.21 ms
Generation 25 completed in 5.11 ms
Generation 26 completed in 5.03 ms
Generation 27 completed in 5.05 ms
Generation 28 completed in 5.01 ms
Generation 29 completed in 5.22 ms
Generation 30 completed in 5.35 ms
Generation 31 completed in 4.89 ms
Generation 32 completed in 5.64 ms
Generation 33 completed in 5.13 ms
Generation 34 completed in 5.15 ms
Generation 35 completed in 4.86 ms
Generation 36 completed in 4.80 ms
Generation 37 completed in 5.04 ms
Generation 38 completed in 5.09 ms
Generation 39 completed in 4.99 ms
Generation 40 completed in 5.00 ms
Generation 41 completed in 5.43 ms
Generation 42 completed in 5.47 ms
Generation 43 completed in 5.46 ms
Generation 44 completed in 5.14 ms
Generation 45 completed in 6.48 ms
Generation 46 completed in 4.92 ms
Generation 47 completed in 4.52 ms
Generation 48 completed in 4.87 ms
Generation 49 completed in 4.84 ms
Generation 50 completed in 5.69 ms
Generation 51 completed in 5.01 ms
Best chromosome: 7 39 37 32 17 35 6 16 42 29 5 36 26 18 27 24 31 38 47 1 25 34 44 9 23 3 33 20 30 45 14 11 10 13 2 15 21 0 8 40 4 41 28 12 22 46 19 43 
Best distance: 59295.729266
