Execution completed in 16839.59 ms
Data loaded in 6.90 ms
Generation 2 completed in 422.58 ms
Generation 3 completed in 394.00 ms
Generation 4 completed in 371.55 ms
Generation 5 completed in 345.25 ms
Generation 6 completed in 340.38 ms
Generation 7 completed in 336.04 ms
Generation 8 completed in 331.37 ms
Generation 9 completed in 336.11 ms
Generation 10 completed in 331.20 ms
Generation 11 completed in 335.40 ms
Generation 12 completed in 366.25 ms
Generation 13 completed in 341.50 ms
Generation 14 completed in 334.87 ms
Generation 15 completed in 332.50 ms
Generation 16 completed in 327.63 ms
Generation 17 completed in 325.57 ms
Generation 18 completed in 323.15 ms
Generation 19 completed in 326.16 ms
Generation 20 completed in 325.00 ms
Generation 21 completed in 329.98 ms
Generation 22 completed in 372.14 ms
Generation 23 completed in 344.39 ms
Generation 24 completed in 337.35 ms
Generation 25 completed in 333.37 ms
Generation 26 completed in 321.03 ms
Generation 27 completed in 321.13 ms
Generation 28 completed in 327.43 ms
Generation 29 completed in 322.38 ms
Generation 30 completed in 325.97 ms
Generation 31 completed in 324.27 ms
Generation 32 completed in 364.59 ms
Generation 33 completed in 339.88 ms
Generation 34 completed in 328.49 ms
Generation 35 completed in 323.11 ms
Generation 36 completed in 314.75 ms
Generation 37 completed in 316.85 ms
Generation 38 completed in 320.98 ms
Generation 39 completed in 320.55 ms
Generation 40 completed in 322.73 ms
Generation 41 completed in 324.54 ms
Generation 42 completed in 324.09 ms
Generation 43 completed in 322.18 ms
Generation 44 completed in 322.03 ms
Generation 45 completed in 323.45 ms
Generation 46 completed in 324.13 ms
Generation 47 completed in 316.73 ms
Generation 48 completed in 318.35 ms
Generation 49 completed in 320.92 ms
Generation 50 completed in 321.78 ms
Generation 51 completed in 317.50 ms
Best chromosome: 3 1 28 40 15 12 13 22 20 31 4 24 10 19 46 11 14 45 6 42 16 35 27 29 26 5 18 36 43 17 30 32 37 7 21 2 39 8 0 33 38 47 41 23 44 34 25 9 
Best distance: 50442.792427
